地區,名稱,郵遞區號,地址,X座標,Y座標
海巡署艦隊分署,第1海巡隊,20248,基隆市中正路249號,121.761581,25.144291
海巡署艦隊分署,第2海巡隊,25155,新北市淡水區觀海路251號,121.408762,25.184337
海巡署艦隊分署,第3海巡隊,43650,台中市清水區北堤路1-2號,120.539022,24.289952
海巡署艦隊分署,第4海巡隊,70259,台南市南區鯤鯓路601號,120.164504,22.966378
海巡署艦隊分署,第5海巡隊,80544,高雄市旗津區北汕巷50-72號,120.289233,22.587914
海巡署艦隊分署,第6海巡隊,97060,花蓮市順興路43號,121.628193,23.991983
海巡署艦隊分署,第7海巡隊,27046,宜蘭縣蘇澳鎮港區路7之1號,121.58511,24.595913
海巡署艦隊分署,第8海巡隊,88056,澎湖縣馬公市大案山里19鄰大案山200號,119.573302,23.563267
海巡署艦隊分署,第9海巡隊,89141,金門縣金湖鎮料羅港1號,118.436297,24.411066
海巡署艦隊分署,第10海巡隊,20941,連江縣南竿鄉福沃村8鄰138號,119.939562,23.154435
海巡署艦隊分署,分署本部,25155,新北市淡水區中正路1段63巷20號,121.55945,24.994978
海巡署艦隊分署,第12海巡隊,30057,新竹市新港南路99號,120.920021,24.845985
海巡署艦隊分署,第13海巡隊,62541,嘉義縣布袋鎮順安路79巷2號,120.156177,23.379983
海巡署艦隊分署,第14海巡隊,94645,屏東縣恆春鎮後壁湖路96巷67號,120.742674,21.945012
海巡署艦隊分署,第15海巡隊,95057,台東市富岡街296之1號,121.191549,22.791847
海巡署艦隊分署,第16海巡隊,22844,新北市貢寮區新港街128號,121.926801,25.056084
海巡署艦隊分署,直屬船隊,85243,高雄市茄萣區崎漏里正遠路1號,120.202496,22.868787
海巡署艦隊分署,北部地區機動海巡隊,24941,新北市八里區廈竹圍7-9號,121.38605,25.152216
海巡署艦隊分署,中部地區機動海巡隊,43650,台中市清水區北堤路1-3號,120.523923,24.292395
海巡署艦隊分署,南部地區機動海巡隊,80444,高雄市鼓山區蓬萊路32號,120.279336,22.620377
海巡署艦隊分署,東部地區機動海巡隊,97048,花蓮縣花蓮市北濱街31號,121.614489,23.97458
海巡署北部分署,清水安檢所,26846,宜蘭縣五結鄉季新村季水路93號,121.83565,24.6927
海巡署北部分署,蘇澳安檢所,27042,宜蘭縣蘇澳鎮港區路50號,121.86878,24.58655
海巡署北部分署,南興安檢所,27043,宜蘭縣蘇澳鎮跨港路156號,121.86644,24.5858
海巡署北部分署,粉鳥林安檢所,27091,宜蘭縣蘇澳鎮東澳里粉鳥林1號,121.84212,24.49776
海巡署北部分署,南澳漁港安檢所,27095,宜蘭縣蘇澳鎮朝陽里朝陽路1-1號,121.81955,24.46158
海巡署北部分署,大里安檢所,26145,宜蘭縣頭城鎮大里里大里路115之4號,121.92156,24.96336
海巡署北部分署,大溪漁港安檢所,26145,宜蘭縣頭城鎮大溪里濱海路5段492號,121.90329,24.94247
海巡署北部分署,梗枋安檢所,26144,宜蘭縣頭城鎮更新里濱海路三段292號,121.8703,24.90748
海巡署北部分署,大福村安檢所,26341,宜蘭縣壯圍鄉大福村壯濱路6段156巷7號,121.81799,24.79578
海巡署北部分署,龜山島安檢所,26145,宜蘭縣頭城鎮龜山鄉龜山村龜山路1號,121.9438,24.84368
海巡署北部分署,烏石漁港安檢所,26143,宜蘭縣頭城鎮港口里港墘路300號,121.83444,24.86291
海巡署北部分署,第一(岳明)機動巡邏站,27047,宜蘭縣蘇澳鎮港邊里4鄰嶺腳路71-2號,121.85342,24.61343
海巡署北部分署,第二(合興)機動巡邏站,26145,宜蘭縣頭城鎮合興里濱海路4段50號,121.88319,24.91795
海巡署北部分署,南雅漁港安檢所,22451,新北市瑞芳區南雅里南雅路89號之8,121.88684,25.12154
海巡署北部分署,鼻頭安檢所,22451,新北市瑞芳區鼻頭里鼻頭路97號之1,121.91608,25.1243
海巡署北部分署,龍洞安檢所,22842,新北市貢寮區龍洞街35-6號,121.91338,25.1165
海巡署北部分署,澳底漁港安檢所,22844,新北市貢寮區真理里新港街122號,121.92746,25.05799
海巡署北部分署,馬崗安檢所,22841,新北市貢寮區福連里馬崗街22號,122.00264,25.01414
海巡署北部分署,深澳安檢所,22447,新北市瑞芳區深澳路189-9號,121.82079,25.13479
海巡署北部分署,長潭里安檢所,20248,基隆市中正區北寧路369巷66號,121.80138,25.14141
海巡署北部分署,八斗子安檢所,20248,基隆市中正區漁港一街9號,121.79151,25.14568
海巡署北部分署,碧砂漁港安檢所,20248,基隆市中正區北寧路213-20號,121.78735,25.14604
海巡署北部分署,正濱漁港安檢所,20246,基隆市中正區和一路232號,121.7627,25.15526
海巡署北部分署,基隆商港安檢所,20248,基隆市中正區中正路249號,121.76134,25.14467
海巡署北部分署,外木山安檢所,20345,基隆市中山區協和街211-3號,121.73399,25.16085
海巡署北部分署,大武崙漁港安檢所,20446,基隆市安樂區湖海路2段186號,121.70695,25.16687
海巡署北部分署,基隆嶼安檢所,20248,基隆市中正區基隆嶼8號,121.78438,25.19122
海巡署北部分署,彭佳嶼機動巡邏站,20248,基隆市中正區彭佳嶼10號,121.7704,25.16249
海巡署北部分署,萬里漁港安檢所,20745,新北市萬里區獅頭路15-3號,121.69782,25.18153
海巡署北部分署,龜吼漁港安檢所,20744,新北市萬里區翡翠里漁澳路85-3號,121.68895,25.19723
海巡署北部分署,野柳安檢所,20744,新北市萬里區野柳里港東路72-2號,121.68812,25.20535
海巡署北部分署,磺港安檢所,20844,新北市金山區磺港路24-5號,121.64981,25.23038
海巡署北部分署,石門安檢所,25343,新北市石門區中央路37-1號,121.56857,25.29955
海巡署北部分署,富基漁港安檢所,25342,新北市石門區楓林路15-1號,121.53466,25.29454
海巡署北部分署,第一(金山)機動巡邏站,20741,新北市萬里區大鵬里加投路301之6號,121.64655,25.22081
海巡署北部分署,第二(福隆)機動巡邏站,22841,新北市貢寮區福隆里東興街2號,121.95238,25.02152
海巡署北部分署,麟山鼻安檢所,25341,新北市石門區德茂里1鄰下員坑15-15號,121.51065,25.28442
海巡署北部分署,後厝安檢所,25242,新北市三芝區錫板里海尾14-34號,121.47531,25.25748
海巡署北部分署,淡水第二漁港安檢所,25155,新北市淡水區觀海路251號,121.40879,25.18471
海巡署北部分署,台北商港安檢所,24941,新北市八里區廈竹圍7之9號,121.39082,25.15151
海巡署北部分署,下罟子安檢所,24941,新北市八里區下罟子街2鄰16-9號,121.38084,25.14225
海巡署北部分署,下福安檢所,24442,新北市林口區下福里10鄰135號,121.29582,25.1217
海巡署北部分署,竹圍安檢所,33748,桃園市大園區沙崙里漁港路537巷10號,121.2429,25.11815
海巡署北部分署,永安漁港安檢所,32744,桃園市新屋區新港路36號,121.01628,24.99002
海巡署北部分署,蚵二安檢所,32745,桃園市新屋區蚵殼港56號,120.98692,24.93985
海巡署北部分署,坡頭漁港安檢所,30446,新竹縣新豐鄉坡頭村1鄰2之3-14號,120.97429,24.92644
海巡署北部分署,新港里安檢所,30263,新竹縣竹北市新港里10鄰10號,120.93831,24.85295
海巡署北部分署,新竹安檢所,30058,新竹市新港南路101號,120.91966,24.84904
海巡署北部分署,海山安檢所,30094,新竹市香山區海山港路26號,120.90586,24.76449
海巡署北部分署,第二(尚義)機動巡邏站,30287,新竹縣竹北市尚義里15鄰尚義街125號,120.95522,24.89709
海巡署北部分署,第一(竹圍)機動巡邏站,33748,桃園市大園區西濱路一段78巷58號,121.24004,25.11294
海巡署中部分署,龍鳳安檢所,350,苗栗縣竹南鎮龍鳳里龍江街359巷5號,120.85912,27.7008
海巡署中部分署,塭仔頭安檢所,350,苗栗縣竹南鎮港墘里塭仔頭28之6號,120.84353,24.66758
海巡署中部分署,外埔安檢所,356,苗栗縣後龍鎮海埔里8鄰125-15號,120.77224,24.6493
海巡署中部分署,公司寮安檢所,356,苗栗縣後龍鎮龍津里公司寮1-3號,120.75707,24.61336
海巡署中部分署,白沙屯安檢所,357,苗栗縣通霄鎮白東里5-1號,120.70726,24.57222
海巡署中部分署,通霄安檢所,357,苗栗縣通霄鎮通霄里漁港路69號,120.67409,24.4997
海巡署中部分署,苑裡安檢所,358,苗栗縣苑裡鎮海岸里36-6號,120.63388,24.44766
海巡署中部分署,松柏港安檢所,437,台中市大甲區順帆路233號,120.61732,24.42892
海巡署中部分署,溫寮安檢所,439,台中市大安區中山北路一巷53號,120.58371,24.37246
海巡署中部分署,梧棲安檢所,436,台中市清水區北堤路21號,120.51768,24.2935
海巡署中部分署,台中商港安檢所,436,臺中市清水區北四路168號,120.53802,24.2886
海巡署中部分署,麗水安檢所,434,台中市龍井區麗水里10鄰三港路水里港巷61-5號,120.4954,24.20013
海巡署中部分署,防潮門安檢所,509,彰化縣伸港鄉全興村西全路167巷111之1,120.48723,24.18387
海巡署中部分署,塭仔安檢所,507,彰化縣線西鄉塭仔村漁港路1236號,120.43835,24.12599
海巡署中部分署,崙尾灣安檢所,505,彰化縣鹿港鎮顏厝小段530-17地號,120.41809,24.08062
海巡署中部分署,王功安檢所,528,彰化縣芳苑鄉王功村漁港路968號,120.32553,23.9684
海巡署中部分署,芳苑安檢所,528,彰化縣芳苑鄉芳中村光明路80號,120.31507,23.92875
海巡署中部分署,三豐安檢所,527,彰化縣大城鄉三豐村和平路30之1號,120.28968,23.88257
海巡署中部分署,第一機動巡邏站(鹿港),50549,彰化縣鹿港鎮新宮里媽祖路39號,120.42557,24.05796
海巡署中部分署,第二機動巡邏站(中港),43964,臺中市大安區五甲北路10巷100號,120.59373,24.4025
海巡署中部分署,第三機動巡邏站(龍港),35668,苗栗縣後龍鎮龍津里87之5號,120.74406,24.66216
海巡署中部分署,許厝寮安檢所,638,雲林縣麥寮鄉台塑工業園區4號,120.22636,23.81846
海巡署中部分署,麥寮工業港安檢所,638,雲林縣麥寮鄉三盛村台塑工業園區1號,120.16709,23.76658
海巡署中部分署,蚊港安檢所,636,雲林縣台西鄉新興海埔地1路12號,120.18021,23.75519
海巡署中部分署,五條港安檢所,636,雲林縣台西鄉五港村中央路1000號,120.17183,23.72214
海巡署中部分署,台西安檢所,636,雲林縣台西鄉台興段251號,120.1983,23.70438
海巡署中部分署,三條崙安檢所,654,雲林縣四湖鄉海清路299-1號,120.15096,23.65904
海巡署中部分署,箔子寮安檢所,653,雲林縣口湖鄉下崙村漁港路370號,120.13995,23.61947
海巡署中部分署,金湖安檢所,653,雲林縣口湖鄉港溪村養漁路100號,120.14748,23.57512
海巡署中部分署,台子村安檢所,653,雲林縣口湖鄉台興路260號,120.13988,23.5608
海巡署中部分署,下湖口安檢所,653,雲林縣口湖鄉湖口村湖口250號,120.15021,23.53421
海巡署中部分署,副瀨安檢所,614,嘉義縣東石鄉副瀨村副瀨87-26號,120.16918,23.49223
海巡署中部分署,型厝安檢所,614,嘉義縣東石鄉型厝村型厝安檢所,120.14772,23.47547
